"OriginalSizeKB","NewSizeKB","SavedKB","RelativePath"
"11276.2","153.6","11122.6","files\6. Award\6. Top researcher of the month - Jan 2023\IMG20230207111227.jpg"
"10870.3","171.9","10698.4","files\6. Award\6. Top researcher of the month - Jan 2023\IMG20230207115706.jpg"
"10446.5","203.8","10242.6","files\8. Blog\1. academic\3. workshops\7. Novelence\DSC_0282.JPG"
"10394.3","204.7","10189.6","files\8. Blog\1. academic\3. workshops\9. Oracle Workshop\DSC_0176.JPG"
"9971.5","174.9","9796.6","files\8. Blog\1. academic\3. workshops\7. Novelence\DSC_0290.JPG"
"9732","137.1","9595","files\8. Blog\1. academic\3. workshops\7. Novelence\DSC_0277.JPG"
"9476.8","153.9","9322.9","files\8. Blog\1. academic\3. workshops\9. Oracle Workshop\DSC_0201.JPG"
"9375.6","122.6","9253","files\8. Blog\1. academic\3. workshops\7. Novelence\DSC_0305.JPG"
"9369.9","137.1","9232.8","files\8. Blog\1. academic\3. workshops\7. Novelence\DSC_0309.JPG"
"9340.9","132.3","9208.5","files\8. Blog\1. academic\3. workshops\7. Novelence\DSC_0303.JPG"
"9235.6","155.9","9079.7","files\8. Blog\1. academic\3. workshops\9. Oracle Workshop\DSC_0240.JPG"
"9136.2","90.4","9045.8","files\8. Blog\1. academic\3. workshops\7. Novelence\DSC_0283.JPG"
"9138.6","157.8","8980.8","files\8. Blog\1. academic\3. workshops\9. Oracle Workshop\DSC_0175.JPG"
"8915.6","127.6","8788.1","files\8. Blog\1. academic\3. workshops\9. Oracle Workshop\DSC_0185.JPG"
"8840","120.2","8719.8","files\8. Blog\1. academic\3. workshops\7. Novelence\DSC_0285.JPG"
"8725.8","114.9","8610.9","files\8. Blog\1. academic\3. workshops\7. Novelence\DSC_0292.JPG"
"8644.7","130.4","8514.3","files\8. Blog\1. academic\3. workshops\7. Novelence\DSC_0304.JPG"
"8563.2","87.4","8475.8","files\8. Blog\1. academic\3. workshops\9. Oracle Workshop\DSC_0183.JPG"
"8461.6","77.8","8383.8","files\8. Blog\1. academic\3. workshops\9. Oracle Workshop\DSC_0181.JPG"
