"Reason","SizeKB","RelativePath"
"Compressed output was not smaller","1.7","assets\img\apple-touch-icon.png"
"Compressed output was not smaller","0.5","assets\img\favicon.png"
"Compressed output was not smaller","117.7","assets\img\hero-bg.jpg"
"Compressed output was not smaller","18.7","assets\img\portfolio\portfolio-3.jpg"
"Compressed output was not smaller","21","assets\img\portfolio\portfolio-5.jpg"
"Compressed output was not smaller","29.1","assets\img\portfolio\portfolio-8.jpg"
"Compressed output was not smaller","22.9","assets\img\portfolio\portfolio-9.jpg"
"Compressed output was not smaller","14.4","files\2. Education\logo\cbse.jpg"
"Compressed output was not smaller","15.1","files\2. Education\logo\coursera-logo.png"
"Compressed output was not smaller","13.2","files\2. Education\logo\google-logo.png"
"Compressed output was not smaller","45.4","files\2. Education\logo\muj.png"
"Compressed output was not smaller","45.4","files\3. Experience\logo\muj.png"
"Compressed output was not smaller","4","files\3. Experience\logo\pearce.png"
"Compressed output was not smaller","21","files\5. Project\1. Project\32.png"
"Compressed output was not smaller","89","files\5. Project\1. Project\53.png"
"Compressed output was not smaller","19.9","files\5. Project\1. Project\9.png"
"Compressed output was not smaller","2052.5","files\8. Blog\1.png"
"Compressed output was not smaller","32.5","files\8. Blog\1. academic\1. leadership\2. wise captain\14.jpg"
"Compressed output was not smaller","33.3","files\8. Blog\1. academic\1. leadership\3. senior perfect\13.jpg"
"Compressed output was not smaller","168.1","files\8. Blog\1. academic\4. expert talk\1\FDP MAY 2019_Page_1.jpg"
"Compressed output was not smaller","158","files\8. Blog\1. academic\4. expert talk\1\FDP MAY 2019_Page_2.jpg"
"Compressed output was not smaller","107.3","files\8. Blog\1. academic\4. expert talk\2\FB_IMG_1594393539551.jpg"
"Compressed output was not smaller","2502.5","files\8. Blog\1. academic\8. Social Activities\2. Blood Donation - 2019\IMG20191114104421.png"
"Compressed output was not smaller","2857","files\8. Blog\2. Connection\3. mom birthday\111111.png"
"Compressed output was not smaller","3481.6","files\8. Blog\2. Connection\3. mom birthday\2222.png"
"Compressed output was not smaller","24.3","files\8. Blog\3. Sports\3. Office  College  School\11\getting medal.jpg"
"Compressed output was not smaller","2616.3","files\8. Blog\3. Sports\header\1.png"
"Compressed output was not smaller","2720.5","files\8. Blog\3. Sports\header\2.png"
"Compressed output was not smaller","2547.9","files\8. Blog\3. Sports\header\3.png"
"Compressed output was not smaller","2441.1","files\8. Blog\3. Sports\header\4.png"
"Compressed output was not smaller","2521.8","files\8. Blog\4. Avocations\2. Drawing\artwork\with ice cream stick.png"
